transactionid;issuedto;issuedby;date;hour;minute
644bd5f7-834a-4e7f-a726-a17e85aa283d;Ulric Griffin;21 Rock;4/8/2018;11;29
af3368f8-2654-4521-afeb-defdb4eab6b7;Clementine Griffin;21 Rock;5/19/2018;16;17
b9f162b7-14c9-42aa-b17f-2a1d7e1e4afc;Clementine Griffin;21 Rock;6/14/2018;18;42
d5ee98cc-d3fe-446f-bdca-3192cdd9c8d3;Clementine Griffin;21 Rock;4/6/2018;20;32
9828ba04-c2a9-4b70-8609-b14ad8ffc26d;Patience Merritt;21 Rock;4/11/2018;16;22
8fcc07b9-36ac-4c1d-8a22-891823ab3619;Patience Merritt;21 Rock;10/19/2018;7;34
460e5876-0b13-4858-9254-6e1d56bf824a;Patience Merritt;21 Rock;8/17/2018;7;56
d39cfa0a-d94e-44ee-a0a1-b8f53b87ddb1;Patience Merritt;21 Rock;4/10/2018;19;4
91f49002-f5c3-4c51-8518-2b9d5012029e;Kendall Nash;21 Rock;1/22/2018;8;51
bb3276a7-7e6f-4de3-9e45-bf6b9472d58e;Kendall Nash;21 Rock;5/1/2018;13;26
f5541c5b-aa0d-4cf7-a16e-492e871d6ab1;Kendall Nash;21 Rock;11/3/2018;16;1
63e0451b-d800-4702-8bd7-6c1141572158;Maxine Hines;21 Rock;5/23/2018;9;29
09a5374d-ac6e-47ad-8d16-2a3a3dc39142;Maxine Hines;21 Rock;3/29/2018;18;59
00e2dfaf-4840-4617-b2e2-d4fc3cf2b1a2;Maxine Hines;21 Rock;12/25/2018;8;28
40c036a6-4bab-4f85-8bb7-3dc000966bfd;Maxine Hines;21 Rock;2/28/2018;9;47
4b6e30ad-d271-4eda-905e-861ef94e47f5;Zenia Ellison;21 Rock;9/19/2018;20;55
8b0f7032-d9b7-42f7-b617-92cfca0b8bca;Zenia Ellison;21 Rock;4/13/2018;14;36
d499b1e8-ac8c-4274-a2d5-1839ff3b64d6;Alika Weiss;21 Rock;6/4/2018;8;19
27ec0afa-8500-446a-8905-7f303282294e;Alika Weiss;21 Rock;9/23/2018;14;35
25caef97-7671-4c26-b74f-0428c5a98bc7;Jin Puckett;21 Rock;11/12/2018;10;7
c223399c-e63c-4ea6-9c3a-3375af0bf802;Jin Puckett;21 Rock;1/18/2018;11;33
95301152-3490-4188-a7a6-36c3cbec3a3d;Jin Puckett;21 Rock;12/21/2018;12;46
1fe2f91e-4228-4374-96c0-c22219a407fe;Jin Puckett;21 Rock;3/4/2018;9;39
c27cda17-1658-4d5c-b5da-44ce3b653c0b;Lunea Bender;21 Rock;9/24/2018;9;5
8dc32d41-49e0-4b56-aeba-bad6ffc04268;Danielle Carson;21 Rock;6/13/2018;10;17
abaccce2-7a48-41c8-8015-51464fb27b33;Danielle Carson;21 Rock;8/28/2018;15;5
7748a512-fd21-4785-bf42-b70875437500;Beck Gilbert;21 Rock;2/9/2018;11;8
2f959909-c343-4e64-bdf4-585b79e426d5;Beck Gilbert;21 Rock;2/14/2018;20;53
93eaeffc-d43b-482f-b5e9-dda13e0d3ec6;Beck Gilbert;21 Rock;2/21/2018;11;49
8764e8b3-e6a5-4bd4-9b8f-e90fd7fa65cf;Julie Craft;21 Rock;1/29/2018;16;33
980f506d-51b5-4ecc-ade8-dc175c462e6d;Julie Craft;21 Rock;7/3/2018;8;41
a9bd715b-5d5a-495c-ba98-cf5259054aec;Julie Craft;21 Rock;1/25/2018;20;21
697c9c48-9e1e-45e0-ae9a-78026a369206;Julie Craft;21 Rock;11/20/2018;18;56
2a200018-857c-43fd-b090-d4a01a736fbf;Steel Fletcher;21 Rock;6/13/2018;13;18
53198e44-8b2a-445c-89c4-63ce92e67c84;Steel Fletcher;21 Rock;10/23/2018;20;1
eff39e25-97d7-40c0-839e-db1eddc90a13;Steel Fletcher;21 Rock;5/10/2018;16;2
47652a07-767d-4261-80e9-88f9b685c2d7;Alyssa Jennings;21 Rock;9/4/2018;19;45
b9babc89-66f6-4c42-90b0-82e056f068f4;Alyssa Jennings;21 Rock;3/26/2018;21;40
984e8b9c-df68-4921-bfef-558d618e1bba;Alyssa Jennings;21 Rock;9/3/2018;16;43
375d5b92-a2fd-4e09-aac4-3123ca684048;Alyssa Jennings;21 Rock;10/2/2018;11;27
f23fa5f9-6a01-4ca0-b866-7abcc4deac0d;Barclay Avery;21 Rock;6/17/2018;15;31
b0339d93-5886-40bd-a561-9a17f50ac0f4;Rosalyn Mathis;21 Rock;8/13/2018;7;31
40adb6d1-b7b9-4d78-8b46-f7504021a787;Rosalyn Mathis;21 Rock;3/4/2018;14;8
daafdb39-bacc-46b3-ae07-d5bc0b0263c5;Rosalyn Mathis;21 Rock;9/19/2018;12;20
be318495-8fa0-41f3-a367-bb54d28b7b1b;Hayden Wong;21 Rock;2/8/2018;16;47
ede84e11-528a-4ab4-8232-ef44a60e5479;Hayden Wong;21 Rock;2/16/2018;18;44
c02f9564-9558-4deb-a6e3-e3b330d11f08;Hayden Wong;21 Rock;5/15/2018;19;21
3db5a868-375f-4eb0-9127-dedf38159361;Hayden Wong;21 Rock;8/25/2018;14;5
97e66051-3a58-4cc7-aac6-6d529de11753;Hayden Wong;21 Rock;5/1/2018;7;26
316b2c5c-b021-46bf-b303-c49dd51bd112;Ahmed Lynn;21 Rock;10/23/2018;21;53
52492e18-76f8-4c9e-84ae-33dc5d2685ff;Ahmed Lynn;21 Rock;11/16/2018;20;31
f7076a93-6c69-4890-911c-5897283a7f19;Ahmed Lynn;21 Rock;2/2/2018;7;1
598f8935-fb37-4443-9724-ae86084c49c5;Ahmed Lynn;21 Rock;2/12/2018;19;45
90eb57f7-43c4-4b82-9640-d80868ec6ebd;Ahmed Lynn;21 Rock;12/29/2018;14;24
8922df0d-3e71-42ee-9f49-35ba33986663;Yetta Baker;21 Rock;12/22/2018;13;27
c75deaef-acf9-4c1c-94d2-aca467208fe0;Yetta Baker;21 Rock;7/18/2018;16;2
cd6955bc-3a1c-4a3c-98c1-749f134a96b2;Yetta Baker;21 Rock;10/15/2018;7;10
6da55415-f026-449b-ad14-b3abf4bfe353;Yetta Baker;21 Rock;3/9/2018;7;47
6747cf1b-5eeb-4c8b-83af-85a36563a83a;Yetta Baker;21 Rock;12/7/2018;21;38
99ca7371-ffe1-4806-8f53-8065d0b8b43e;Rajah Sanders;21 Rock;5/20/2018;18;34
64bb4920-63ab-4403-b105-3339b92f3074;Rajah Sanders;21 Rock;12/7/2018;16;21
591ba0f7-1a5c-460a-86c4-922e9b22dd3f;Rajah Sanders;21 Rock;10/1/2018;14;15
451405ae-e7b7-4bad-a85b-1fc6adf9b818;Rajah Sanders;21 Rock;1/15/2018;13;44
3bb970ee-268a-4d7c-9d33-7155309f79b0;Rajah Sanders;21 Rock;9/20/2018;21;16
c560716d-6496-4024-b6fe-c6982a4e0666;Basil Henson;21 Rock;4/4/2018;14;17
56c2fdee-508a-4daf-bdb4-0c96153dd447;Basil Henson;21 Rock;3/10/2018;8;4
42246909-12ea-4dc8-8fe4-9f2d5a3ea3a6;Basil Henson;21 Rock;5/26/2018;13;22
fa38d35d-d353-423f-bfb9-34710cefd438;Basil Henson;21 Rock;7/21/2018;7;40
6d4b0356-95c5-4c46-8769-2de5d25464c3;Griffin Pitts;Adonis;7/27/2018;18;5
ee5f5d14-5004-43aa-8bb2-d919865d6b36;Griffin Pitts;Adonis;7/29/2018;19;7
e8632d2c-4ac6-4e14-893e-cc650d1e1148;Griffin Pitts;Adonis;10/16/2018;18;21
4bbec63c-6150-4b9a-ab7c-dbe481aafae8;Griffin Pitts;Adonis;4/18/2018;16;42
40316013-d19c-4bab-b438-d664a8d7df01;Griffin Pitts;Adonis;2/10/2018;16;36
484a99c3-e8b6-4b3c-baca-86fc81e4ea91;Boris Donaldson;Adonis;10/8/2018;19;56
570337eb-2c9c-4969-80ab-185a9104b74b;Boris Donaldson;Adonis;10/27/2018;12;3
e1cc933d-dae7-41bf-a029-019bf4b31e49;Boris Donaldson;Adonis;8/9/2018;10;36
1b0971e8-248b-46a9-a15a-09eb189fb02b;Oleg Justice;Adonis;1/5/2018;11;1
c16047ce-0cf9-49bb-87d3-ef2974845bfc;Oleg Justice;Adonis;1/5/2018;19;48
1d721ee1-3d45-4b61-bb4c-2dc8c6258d41;Oleg Justice;Adonis;4/6/2018;12;55
9c31383d-fea4-4376-9308-8d45111dc3ca;Oleg Justice;Adonis;6/23/2018;13;16
b1f4f072-13a7-4380-b352-d56ef5cc2374;Oleg Justice;Adonis;8/24/2018;17;25
6a428727-1dd3-40bb-b16d-d1a19dd0eb31;Ferris Raymond;Adonis;10/20/2018;15;11
6bb5fb8b-4b3d-4039-90cf-1cf4af188515;Ferris Raymond;Adonis;4/27/2018;15;1
e5c8de79-4c7e-479a-af32-36dc97086cda;Ferris Raymond;Adonis;3/2/2018;17;24
8c7b84b6-c886-4539-94c1-f129e40dbed0;Ferris Raymond;Adonis;5/6/2018;17;27
862c8c5b-5920-4f5c-9a71-1b69b7fd3b07;Leigh Odonnell;Adonis;3/21/2018;13;23
43073876-a74b-4fc3-85cc-42c026815cd7;Leigh Odonnell;Adonis;4/13/2018;16;25
bac52535-665a-4956-995e-1841aa5d602a;Leigh Odonnell;Adonis;7/3/2018;14;7
f44c4f5b-0018-48e1-8d79-dfcfef64655f;Leigh Odonnell;Adonis;9/18/2018;12;46
755c149c-83c2-497b-8de2-fc64ec6e575c;Leigh Odonnell;Adonis;5/16/2018;10;22
d28ff513-19a9-4fb5-a35a-5d90f5302d89;Germaine Nash;Adonis;5/7/2018;17;11
1db66ca3-5c58-40ec-ac20-f4438be79fa4;Gareth Burch;Adonis;4/10/2018;19;9
84e2e6e6-df2b-4db9-82d5-1371df2d0d9c;Gareth Burch;Adonis;9/8/2018;10;23
cee0492e-e700-4719-831d-e18ec9f3d7be;Ginger Peterson;Adonis;11/13/2018;16;55
17075dba-7a08-4dc0-aded-aa30478ee9bd;Ginger Peterson;Adonis;4/26/2018;12;24
82c352f4-858a-444d-a7b9-2331b05109e6;Ginger Peterson;Adonis;3/22/2018;15;22
2cdf765b-9111-4287-ad7f-d2e2c5f9df9f;Hilary Kramer;Adonis;5/27/2018;9;17
f0620c24-5aef-438e-aced-380cd95f27fb;Hilary Kramer;Adonis;12/2/2018;16;24
0fc9cb30-51a5-4743-b13e-94906d6bf6bd;Hilary Kramer;Adonis;9/20/2018;16;22
ce060bfe-bdbb-470c-8171-3e06c3061496;Hilary Kramer;Adonis;10/8/2018;10;16
d20ceab5-d2ba-4645-b823-2dfa6dfcc799;Hilary Kramer;Adonis;1/29/2018;13;8
f0f4d933-f8d6-4c1d-af97-143bd0da33e1;MacKenzie Dejesus;Adonis;9/10/2018;16;56
7b6353da-fa8a-463e-a795-9c47b9cb7856;MacKenzie Dejesus;Adonis;5/10/2018;16;18
05758502-111b-4e93-b0df-56b3b55e04b0;MacKenzie Dejesus;Adonis;1/16/2018;9;21
9a8434b6-b0b2-44c9-bebb-718b5edd74f2;MacKenzie Dejesus;Adonis;12/17/2018;9;5
50899fc2-7a56-42a8-9fa7-f6cb17bb6f90;Cameron Walsh;Adonis;1/12/2018;10;53
2121f70d-d8b2-4fdd-8be0-102939029ca3;Cameron Walsh;Adonis;11/20/2018;14;42
5a5d7870-e46d-4379-8907-aa0ea7500f19;Cameron Walsh;Adonis;12/7/2018;10;39
05de24e4-c323-4687-a2b8-e2e44271113a;Cameron Walsh;Adonis;4/28/2018;17;43
361c36f7-2032-4962-ac76-fc3884aa606b;Jason Cusner;Adonis;5/29/2018;19;48
aef2733f-0acf-4551-a375-5cafa1f835be;Vaughan Miranda;Adonis;5/17/2018;13;1
72700c7d-cfb2-4c96-97fe-79a91cab2f14;Orson Sellers;Adonis;2/29/2018;12;40
d0ba5ec9-a2e6-4493-8290-933328705bfa;Orson Sellers;Adonis;6/14/2018;16;33
fefd4163-3848-4df7-b628-80f84cf92f53;Lillith English;Adonis;12/4/2018;14;7
9c999cdc-ec5d-45ab-b752-fbe2aa19257e;Lillith English;Adonis;2/12/2018;18;46
161015e6-8469-4143-b09c-bdc68f81a2c1;Rama Church;Adonis;1/25/2018;12;53
cbf35486-2c7d-4413-86a3-2cef47496d9b;Rama Church;Adonis;1/28/2018;13;37
27bbdb63-a9d4-47df-b20f-8837b0458b17;Rama Church;Adonis;2/18/2018;12;59
9c049606-64c3-4540-9645-45019072d4f0;Rama Church;Adonis;8/3/2018;14;49
b98f15ad-6d66-4cf7-9f6e-59daa83c3bc0;Rama Church;Adonis;7/22/2018;15;45
bc9de448-f6c3-4d24-a53b-641ec41f981d;Amela Mack;Adonis;3/4/2018;19;22
cbab604d-f395-4d74-9814-966f7aad947a;Amela Mack;Adonis;10/5/2018;9;22
da1ca148-e625-408f-b85d-6510689b27f4;Amela Mack;Adonis;6/26/2018;12;18
40de4f40-08eb-4b41-8c07-72db0167ebfb;Amela Mack;Adonis;3/7/2018;15;31
99ce5463-64aa-49d4-88de-74f81cf536a1;Keefe Cooper;Adonis;2/28/2018;17;1
c462c10d-de83-495a-87c3-5269d2d45f36;Keefe Cooper;Adonis;7/11/2018;11;35
dc7fe78e-a3b2-4d49-aa75-8665426b5b34;Keefe Cooper;Adonis;2/12/2018;19;56
854baacc-1569-46b4-b596-abd24b0d292e;Keefe Cooper;Adonis;10/26/2018;15;13
466d714a-3f22-493a-bd6c-eadefbef3e0a;Kane Huff;Adonis;6/19/2018;16;19
419dc50c-5f14-4fbf-b84b-1c9d5eae17d0;Kane Huff;Adonis;1/18/2018;18;0
dcebbbde-8b85-451d-8cae-e7bf67ffb104;Kane Huff;Adonis;6/5/2018;19;35
31d93c4d-e937-437c-98c6-deab13808eeb;Fitzgerald Gibson;Adonis;3/16/2018;10;36
9e9ff954-8e69-46f5-bf2a-06e702a64ab9;Orlando Dunn;Adonis;8/11/2018;19;13
a8f812bf-3acb-43b9-a510-c47111df7ac6;Evelyn Mcmahon;Adonis;3/24/2018;9;32
a8e55ffe-3709-42b4-a407-f5015ef86b97;Evelyn Mcmahon;Adonis;7/8/2018;11;6
d6eaba1c-4437-40b2-84da-a01792dc2046;Evelyn Mcmahon;Adonis;6/21/2018;14;13
2fd54dba-4f60-4674-85bd-957b0e4a51d5;Evelyn Mcmahon;Adonis;11/9/2018;18;30
c1b2ad5a-7096-4f98-a392-9522f07f6610;Xena Russo;Agatesupermicro;1/8/2018;11;42
360fc819-47d7-493a-8360-29601c323843;Xena Russo;Agatesupermicro;9/11/2018;9;9
2002b05a-6bf4-4c52-b9e8-e0b983e602d4;Kelsey Garza;Agatesupermicro;2/16/2018;12;38
14fc5571-0d4d-45f8-846f-562600b8b1eb;Kelsey Garza;Agatesupermicro;4/2/2018;20;6
26dbda52-a886-498e-b99e-5a27163335cf;Kelsey Garza;Agatesupermicro;4/22/2018;13;56
9dbb7a27-8e18-4afc-8ae1-69b7d7f8c4dd;Blair Hunt;Agatesupermicro;8/18/2018;9;35
95fd9f5c-9f1b-48fa-86e4-5e428e1fd190;Blair Hunt;Agatesupermicro;2/11/2018;23;39
c43eabb2-bb55-41e1-83f5-547722419669;Kalia Davenport;Agatesupermicro;9/15/2018;17;21
619b5c7a-be86-4089-8b04-b042390a7797;Alexander Whitfield;Agatesupermicro;1/16/2018;14;12
e54f8766-47e9-4874-951c-7fb804b26b96;Alexander Whitfield;Agatesupermicro;10/28/2018;17;30
c28be0a8-c939-43cd-a570-77cab7fffc9e;Alexander Whitfield;Agatesupermicro;7/2/2018;22;4
5c08c06c-8213-40bc-9cb2-87b45bb74333;Alexander Whitfield;Agatesupermicro;10/28/2018;23;7
4ebe60ad-14ba-45cf-a9b5-5fcedbef9d09;Alexander Whitfield;Agatesupermicro;8/2/2018;16;8
f9a128fe-ce74-4935-b732-70aa95d6382a;Tanisha Coffey;Agatesupermicro;9/23/2018;21;39
7f159b41-aa02-4bf0-a133-0704d39808cc;Tanisha Coffey;Agatesupermicro;3/6/2018;13;1
ac18aac0-7202-49cc-80c4-c05b85e6a5c6;Tanisha Coffey;Agatesupermicro;8/3/2018;21;47
a731ba3c-185e-4004-a859-9336a0d9ca36;Tanisha Coffey;Agatesupermicro;8/16/2018;21;29
26a9bd64-3797-405e-94ff-97fe00f1ed6d;Macon Bishop;Agatesupermicro;10/5/2018;20;8
a6f380c0-d341-4d6c-81ae-a5e285873c85;Macon Bishop;Agatesupermicro;7/3/2018;17;7
47180cc1-dbb5-499a-80f8-8957d0d54b43;Kendall Williams;Agatesupermicro;12/20/2018;22;5
e765a337-9bc0-4aad-bf65-58778f3e9484;Julie Page;Agatesupermicro;2/10/2018;10;48
b42dee5b-0cc0-48ca-8d28-541351b00e71;Amir Battle;Agatesupermicro;4/13/2018;14;45
e9200d5b-6e50-4acd-a6dc-30097e31b910;Kathleen Gardner;Agatesupermicro;8/17/2018;14;33
5166a809-f6ed-4e0f-bc6f-2922ce007222;Amir Mcneil;Agatesupermicro;3/19/2018;23;24
dcfaad5b-7613-4689-a732-942863c1412d;Amir Mcneil;Agatesupermicro;12/17/2018;17;25
b8933685-5bff-47cb-afa1-4a8f18bd709f;Amir Mcneil;Agatesupermicro;4/20/2018;9;6
b3feec2a-3252-49d3-83cb-ea4a131964ee;Amir Mcneil;Agatesupermicro;9/4/2018;11;12
2dd177fc-000c-4281-97d0-4e62c75ac467;Amir Mcneil;Agatesupermicro;11/19/2018;18;11
cd797c37-6963-4696-a048-94c880653de2;Ishmael Hall;Agatesupermicro;3/24/2018;10;25
dd9a790f-7a11-4477-93da-559a9ef19400;Ishmael Hall;Agatesupermicro;9/15/2018;16;55
51302fa4-d330-418b-9f07-6bdeb1a0c865;Ishmael Hall;Agatesupermicro;6/1/2018;15;39
f66b3964-cc28-43ff-97ef-449e95266fd2;Ishmael Hall;Agatesupermicro;8/5/2018;19;49
194496e6-e5d8-4ce0-b3e1-1db2eec701f3;Ishmael Hall;Agatesupermicro;7/27/2018;10;55
0b1ee6df-2129-44f1-a7c3-5ba47020a94d;Mallory Ramsey;Agatesupermicro;5/2/2018;11;45
0a48c340-a12e-4d84-b778-82526563b0c6;Mallory Ramsey;Agatesupermicro;8/23/2018;11;28
33415699-4b1d-4239-b87e-2d816ab603d0;Mallory Ramsey;Agatesupermicro;2/3/2018;20;19
de9c0142-47c2-4be9-adbf-f289b4c1dbd5;Mallory Ramsey;Agatesupermicro;12/8/2018;22;1
18d041c5-7d9a-4aee-9baa-7d2db3e845d9;Mallory Ramsey;Agatesupermicro;8/15/2018;9;13
a128c4ab-557e-4eef-b7e5-2bfb79bf4b6c;Abigail Hancock;Agatesupermicro;2/26/2018;21;43
cab7ee6e-2f77-4ea1-8657-8e969fa32b90;Abigail Hancock;Agatesupermicro;5/4/2018;11;53
4b94a6ae-b867-4f65-94c4-a462dd25abc5;Abigail Hancock;Agatesupermicro;11/7/2018;19;24
c7d65899-fe31-464e-b2e8-4a10a9cb3a91;Abigail Hancock;Agatesupermicro;11/3/2018;19;54
e055f081-c09b-4bc8-92be-85f245264e8b;Brady Bowman;Agatesupermicro;5/27/2018;11;0
6be910a3-789f-4d3f-b083-73590c99fdfa;Brady Bowman;Agatesupermicro;5/22/2018;10;37
44957c07-544f-4ec5-84b7-739e6a69b754;Vincent Fox;Agatesupermicro;8/17/2018;21;25
7384d416-3d22-491b-b300-04e0d983b0e3;Vincent Fox;Agatesupermicro;1/15/2018;12;43
9615947b-5eb7-4696-8ac9-22624c325723;Vincent Fox;Agatesupermicro;7/21/2018;22;59
e7cdb31a-ad6f-494f-bf52-0d7ae922f757;Tiger Pollard;Agatesupermicro;5/8/2018;22;5
0c622ae5-c4f5-48c7-a540-5eddc9e1d7f3;Tiger Pollard;Agatesupermicro;1/5/2018;18;42
93e656b0-df5d-455c-a1e1-d66d337dc242;Tiger Pollard;Agatesupermicro;4/11/2018;21;7
0b543a30-8654-4210-bd33-28afceba66b8;Tiger Pollard;Agatesupermicro;2/13/2018;23;40
8bb2b971-8391-47a7-a44f-cffa44deb639;Duncan Burns;Agatesupermicro;9/20/2018;9;44
3e7da674-a840-4cdf-bd8e-5d0126b448d9;Hayley Morse;Agatesupermicro;3/6/2018;19;27
7e25f8f2-f8e8-4ed5-a539-642f225a9b1a;Hayley Morse;Agatesupermicro;5/19/2018;19;3
3ec19288-1a1b-4d12-9275-29aace8ef7a6;Hayley Morse;Agatesupermicro;9/14/2018;9;26
15103497-a6f9-4f02-b8dc-5bb2438ab916;Hayley Morse;Agatesupermicro;12/3/2018;12;50
643e6e17-41b0-484b-8f4e-fbc6ccc04bb1;Hayley Morse;Agatesupermicro;9/4/2018;15;55
76c79698-13d2-4a00-b185-7ffae160c423;Justina Brennan;Agatesupermicro;8/19/2018;9;30
fd50cf09-b7d3-4ae4-bcf9-a22e444ef862;Justina Brennan;Agatesupermicro;12/29/2018;13;35
b78f0167-d084-42db-9af6-26299e14d8f8;Justina Brennan;Agatesupermicro;8/21/2018;13;38
7a0c3949-6994-432a-9cc3-d4bc402fd14e;Justina Brennan;Agatesupermicro;4/18/2018;23;13
19e61f6b-35fc-42d5-a91d-3ae73495dee4;Macaulay Hogan;Agatesupermicro;6/27/2018;18;32
64e946c2-7392-422e-afb7-65659b715f58;Macaulay Hogan;Agatesupermicro;8/23/2018;15;32
92cce97c-cbee-4e38-b17d-15310a5b1aba;Kirestin Williamson;Allie's;4/28/2018;14;23
ff447a09-6363-4fdc-8546-536814569d03;Carlos Pace;Allie's;6/29/2018;18;14
9f730612-4c64-41c7-b3d6-22a3d603f81f;Carlos Pace;Allie's;8/7/2018;14;29
f954e74f-1648-4f78-94a2-10b3db007235;Cyrus Francis;Allie's;11/6/2018;16;53
579ff64b-8716-4a0d-8fd6-6293fb3b9871;Cyrus Francis;Allie's;9/5/2018;21;30
28163f98-6544-411e-b31e-d0e2983b30cc;Cyrus Francis;Allie's;12/13/2018;13;50
13eab4ea-714d-4bf6-9a85-6462d2c52e3f;Cyrus Francis;Allie's;5/3/2018;21;26
bee43eb2-6562-4efc-8d73-c82a7a52fc0c;Cyrus Francis;Allie's;4/5/2018;19;5
6a5975f2-012d-44dc-935f-e122a3a3ded3;Timon Gibbs;Allie's;4/4/2018;22;7
9f2a2d8f-452e-4bdd-8576-4c299cb27ebb;Timon Gibbs;Allie's;5/17/2018;20;47
903995f5-b737-45e2-8f78-1fcd57c2b46f;Demetria Delacruz;Allie's;10/29/2018;22;23
6e312710-b0b9-4960-ae80-79d5dbe3405a;Demetria Delacruz;Allie's;1/13/2018;21;42
b0abfc6e-691a-4ecf-afe0-1c4b3f2d154a;Demetria Delacruz;Allie's;8/9/2018;17;47
c6cad113-53e6-403d-8dda-6bc01afc1966;Demetria Delacruz;Allie's;10/23/2018;21;5
6831b712-95cd-4bc0-aea4-6e658066dfbc;Demetria Delacruz;Allie's;4/27/2018;14;36
984a7609-cf48-47e7-a453-e937b1008f6a;Ulric Parks;Allie's;2/27/2018;16;44
ac86a0bd-dc67-4a94-bb5d-1ed4442c7d93;Ulric Parks;Allie's;1/24/2018;19;17
244fef82-3a68-4458-a50e-3ce21395333d;Ulric Parks;Allie's;6/2/2018;16;31
6332136f-6e07-4404-833f-81f9d8d99580;Ulric Parks;Allie's;2/19/2018;22;12
ace13b23-026d-4e5b-90e1-457c23758365;Doris Beach;Allie's;6/19/2018;11;54
74e8d6ed-60a6-4aa7-a97e-24e5397ff440;Kevyn Roy;Allie's;7/9/2018;20;13
fce95bf5-cb2e-44f9-982a-8ffdfaa3c4d0;Kevyn Roy;Allie's;2/26/2018;21;8
49754ebd-1abd-4b80-b3e7-f5f350c09235;Mason Montgomery;Allie's;6/29/2018;13;24
78b62f48-13be-4ffb-9165-b89c70fa3f44;Cara Bates;Allie's;4/7/2018;20;29
cbb7428e-2aad-4ee2-83af-6a75804df483;Cara Bates;Allie's;10/7/2018;11;38
3d181f16-05ff-4976-af2a-b0277db1d420;Chaney Wright;Allie's;11/27/2018;15;41
148e87ae-02b8-4735-8630-ca198ba6f61b;Chaney Wright;Allie's;1/27/2018;22;49
329e9403-af6c-482b-b8b3-0118d5843c17;Chaney Wright;Allie's;11/26/2018;16;41
32e1d6a2-ae81-4f89-b201-6a77eb8f52e0;Adena Lee;Allie's;10/29/2018;9;50
0ce61c03-6a55-4356-99df-50505da2c3e3;Graiden Franklin;Allie's;4/5/2018;18;52
4315f3c9-ae91-410e-9a82-68962b89d67f;Graiden Franklin;Allie's;3/13/2018;18;29
54895037-b89d-448a-8cfe-ecc286fd0c0f;Graiden Franklin;Allie's;9/4/2018;15;18
91a378fa-ca59-48e9-89ac-98dd4f56cbe4;Graiden Franklin;Allie's;1/13/2018;20;34
afef1636-4718-42b1-af44-892523864b82;Graiden Franklin;Allie's;1/12/2018;14;44
b070f483-2589-49e5-b238-e26e5021515b;Todd Vaughn;Allie's;8/22/2018;21;3
ae086655-4403-4a1e-ba6d-a40ddf3397ef;Todd Vaughn;Allie's;2/13/2018;11;32
f3a58015-629a-4d4c-afdb-2b14c20db71a;Todd Vaughn;Allie's;3/5/2018;17;32
5e85200c-a66e-46fe-98cf-307244d91f5b;Angela Anderson;Allie's;8/18/2018;14;57
